grid_case;machine;batch_size;size_bus;threads;exapf-gpu_throughput;pf-net_throughput;gns_throughput;canos_throughput;gpu-0DCD_throughput
case_ieee30;l20;1024;30;-1;;84020.27021750252;39996.13630409057;45656.73113525173;158273.9676214356
case_ieee30;l20;2048;30;-1;;68200.77567003919;67855.43602927233;36740.649973863314;206970.16385567348
case_ieee30;l20;4096;30;-1;;65644.75916991699;102241.98380487424;30812.60098084709;216857.559356491
case_ieee30;l20;8192;30;-1;;65259.76744698923;136790.38749787648;29513.684286855725;153319.3108791761
case_ieee30;l20;16384;30;-1;;65710.73662867698;153266.72059752932;28379.701821707786;140683.43693475705
case_ieee30;l20;32768;30;-1;;;;;148944.6468617755
case_ieee30;l20;65536;30;-1;;;;;114736.22362799187
case_ieee30;t4;1;30;-1;358.2917791616637;431.84940543064084;17.067456845393977;51.0984277573867;778.8035074632284
case_ieee30;t4;2;30;-1;;792.076410760241;34.33564859780526;93.86380430413844;1561.8543604920262
case_ieee30;t4;4;30;-1;;1642.9942718701188;68.30406649603763;184.03025398487685;3039.6725411917514
case_ieee30;t4;8;30;-1;;3087.9273229669157;136.99233033141525;357.2771387488285;5439.219352228747
case_ieee30;t4;16;30;-1;1058.686630368703;5276.501935386813;273.3161355147762;697.3390545402509;6579.411611224157
case_ieee30;t4;32;30;-1;;8930.526498078441;543.9388774863936;1424.7347151541937;12833.581582358445
case_ieee30;t4;64;30;-1;;10554.813323273356;1087.4168335231784;2763.7626905779252;24637.12707227799
case_ieee30;t4;128;30;-1;;10753.193939994853;2163.274256842559;4997.024041992098;44513.411581709646
case_ieee30;t4;256;30;-1;31067.057359689752;11499.306565167333;4186.046004906237;5647.771841840864;73466.47342834291
case_ieee30;t4;512;30;-1;;12324.26947641795;7846.749372690423;6275.486575388292;83122.7332313914
case_ieee30;t4;1024;30;-1;;12582.681382226807;13562.469807145353;6581.182956351589;95610.97529733393
case_ieee30;t4;2048;30;-1;;12597.28057492968;20797.143680621593;6734.9364669925235;99141.45766284538
case_ieee30;t4;4096;30;-1;;12553.206230407475;28296.154028955192;6899.6524274549565;102324.51162518006
case_ieee30;t4;8192;30;-1;;12475.860264861656;32460.349064879305;6937.164895675609;99762.00174873987
case_ieee30;t4;16384;30;-1;;12094.100957998447;33719.65501664651;6961.179848442828;95437.2257621495
case_ieee30;t4;32768;30;-1;;;;;89507.63900679981
case_ieee30;t4;65536;30;-1;;;;;80838.82232088519
case_ieee30;rtx6k;1;30;-1;526.3401153902014;1234.0547509195505;44.0424676606068;136.6308611061412;963.8299611654579
case_ieee30;rtx6k;2;30;-1;;2398.2521706684734;89.65337910107833;255.55126221812526;1870.1548343239206
case_ieee30;rtx6k;4;30;-1;;4762.192453808887;176.38959062876782;503.88045542077197;3703.365347438845
case_ieee30;rtx6k;8;30;-1;;9384.980171977602;357.6567846244113;998.1595630166173;7117.785271736739
case_ieee30;rtx6k;16;30;-1;4810.52775731594;19103.062761234396;722.8105418186059;1999.880202783264;7900.277170781044
case_ieee30;rtx6k;32;30;-1;;38093.54392557027;1432.323529237919;4011.275683507034;15562.797843124734
case_ieee30;rtx6k;64;30;-1;;77386.26418241761;2867.972628961892;8164.57875026842;29793.31826510626
case_ieee30;rtx6k;128;30;-1;;117159.87672300683;5808.036446514419;16171.839706886998;55512.92361809866
case_ieee30;rtx6k;256;30;-1;73096.34959043023;158750.64674539777;11219.725551875392;32308.72826906848;102503.44339648551
case_ieee30;rtx6k;512;30;-1;;171988.17948082858;22391.668883831684;64056.85600636766;168776.7162543942
case_ieee30;rtx6k;1024;30;-1;;161222.45472572732;40637.61777175388;71929.11160258517;239560.66634957533
case_ieee30;rtx6k;2048;30;-1;;145685.93913071143;79404.6564534696;71211.46910601798;299231.18909926526
case_ieee30;rtx6k;4096;30;-1;;134317.03726575794;139028.10279636478;69051.49588380878;297881.5035172149
case_ieee30;rtx6k;8192;30;-1;;135583.04508496274;220251.56745313207;64964.989124631655;306684.88389808335
case_ieee30;rtx6k;16384;30;-1;;135864.55238535398;283241.9738336419;64898.75148129087;290557.03295016434
case_ieee30;rtx6k;32768;30;-1;;;;;250940.32508205043
case_ieee30;rtx6k;65536;30;-1;;;;;200143.73568127333
case57;l20;1;57;-1;551.5707553649178;1091.6441383405222;41.20275476854933;139.84392767456887;823.0297551456146
case57;l20;2;57;-1;;2069.071113414882;83.47775070199346;259.4441234856923;1615.885761070814
case57;l20;4;57;-1;;4147.938142877512;166.93242879956293;515.0995857437447;3162.6839276248843
case57;l20;8;57;-1;;8729.902271836405;333.60108741081166;978.0460687498006;6092.500804939676
case57;l20;16;57;-1;4039.2491472894567;17420.636226049806;651.3929163408634;1937.6004254217962;5546.438000675573
case57;l20;32;57;-1;;27319.298375284467;1325.574574315029;3990.7659891852813;10965.840343932861
case57;l20;64;57;-1;;37236.638447921745;2647.648846857422;7820.492797152365;21564.47166617802
case57;l20;128;57;-1;;45462.37419044317;5218.007829754021;15776.144750168787;37644.473743423296
case57;l20;256;57;-1;53683.310245807406;36176.85332763887;10433.507218951489;22728.967548115;65300.54205124602
case57;l20;512;57;-1;57180.19078981733;43289.23459867518;19808.94299123629;23556.529926746178;104252.35855462652
case57;l20;1024;57;-1;81744.5010957076;35531.36936345035;34118.68413372253;18919.176624617015;122905.5797862198
case57;l20;2048;57;-1;28182.226101964643;33742.321047949765;50540.835393972586;15995.619309206608;149746.1926503508
case57;l20;4096;57;-1;16503.761426218156;33586.77128212756;69667.74247612724;15305.194653032804;151372.3489063046
case57;l20;8192;57;-1;13311.027277547091;33960.838176737365;79389.48670215115;14825.648872175329;164196.41908301038
case57;l20;16384;57;-1;7198.441487858296;33586.31739060461;72539.31032298134;14793.22844809495;109670.68454293323
case57;l20;32768;57;-1;;;;;114756.39870098722
case57;l20;65536;57;-1;;;;;93053.0459421619
case57;t4;1;57;-1;322.47389245166806;413.3083730512713;17.439575811636075;47.001829216125444;692.9892708825428
case57;t4;2;57;-1;;822.7105642008887;34.608389758722964;88.49154499457372;1361.3560556028576
case57;t4;4;57;-1;;1555.479329204554;69.48593883839209;169.36780705762106;2489.9729827467963
case57;t4;8;57;-1;;2788.462233172728;138.06455176778314;322.8710942894049;4372.801679136051
case57;t4;16;57;-1;1456.4398245164955;5033.140754956471;274.98719988062635;674.8784075709935;3995.1963198259564
case57;t4;32;57;-1;;5760.331880259552;553.8109608480819;1329.2705638972507;7879.583988737704
case57;t4;64;57;-1;;5977.105184940345;1099.3888149635293;2515.613713990597;14959.59620799213
case57;t4;128;57;-1;;6087.900018723314;2147.339978541126;2962.334798796185;26825.06040895803
case57;t4;256;57;-1;17368.86173862149;6378.866542465347;4059.678160070449;3237.9477132415846;43741.17603315068
case57;t4;512;57;-1;5855.864313356255;6556.906577139092;7091.253922555138;3388.7719382557534;46270.38260764546
case57;t4;1024;57;-1;4930.464952209988;6561.034904658046;10786.871271536787;3500.7097644663204;54143.40274524539
case57;t4;2048;57;-1;15697.783632764915;6533.925977878964;14840.607299046724;3537.690630238491;54621.263833184006
case57;t4;4096;57;-1;8548.078425804284;6279.8070468929845;16959.496231258418;3603.622365176265;57553.54806082246
case57;t4;8192;57;-1;4506.948919558315;6231.198594692841;17416.171009895203;3570.8059251359637;57493.76457284619
case57;t4;16384;57;-1;3087.0226232238147;6033.331185673513;17510.621255417085;3541.955494425139;55613.67430924282
case57;t4;32768;57;-1;;;;;53357.63762709087
case57;t4;65536;57;-1;;;;;48745.583907883
case57;rtx6k;1;57;-1;419.05856208848104;1199.4506848253693;45.49765009564004;143.55426818509366;837.3652199238056
case57;rtx6k;2;57;-1;;2269.5978271090703;91.18143562473618;257.9244629916092;1649.4076492313413
case57;rtx6k;4;57;-1;;4483.416874448611;181.9803835846985;504.6204651116368;3232.476607867557
case57;rtx6k;8;57;-1;;8934.119165301669;361.0116330891512;950.6536114289825;6417.309050170516
case57;rtx6k;16;57;-1;3753.548053669044;18241.295511343615;719.6044338988484;1820.770428733443;4748.338436214534
case57;rtx6k;32;57;-1;;36333.1638051236;1451.9019773072648;3938.3142831097257;9350.665639250374
case57;rtx6k;64;57;-1;;57728.92530373368;2911.1430908743146;7403.434745849053;18323.643469440005
case57;rtx6k;128;57;-1;;76264.9397882911;5605.592812033581;15548.58891043648;35463.68484234005
case57;rtx6k;256;57;-1;48601.55391543703;88502.85310478254;11238.0214080862;28448.03343828507;63320.414280374214
case57;rtx6k;512;57;-1;77263.84030628095;83590.03925177005;20932.40505391036;36478.530812136;110063.74147556828
case57;rtx6k;1024;57;-1;93076.43306135121;77183.96934435384;40249.59082141125;37116.67435873266;171373.69636960933
case57;rtx6k;2048;57;-1;15396.968757110786;69400.9746525148;68041.65151801312;35129.91583622755;226796.83670123943
case57;rtx6k;4096;57;-1;29541.051990470096;69419.091423505;98517.47355359096;33423.59135931632;223346.6484452414
case57;rtx6k;8192;57;-1;15224.54010166629;69605.8612928714;145809.5076566857;33729.24729811685;194852.18255081715
case57;rtx6k;16384;57;-1;8393.639671382141;69566.34948504501;150848.33062531202;33729.639711774915;218729.30761959954
case57;rtx6k;32768;57;-1;;;;;194065.218587397
case57;rtx6k;65536;57;-1;;;;;159829.19683923753
case118;l20;1;118;-1;538.6128033200742;1064.511643138281;41.34220579787099;136.1412501095232;787.3514760122133
case118;l20;2;118;-1;;2043.203778194655;84.43201995585547;256.15094313390136;1571.4161793861292
case118;l20;4;118;-1;;4311.31102340206;167.2167135970241;508.664507046466;2956.0132694966337
case118;l20;8;118;-1;;7940.925546278882;338.9917942134525;960.9668486603041;5535.5297829751635
case118;l20;16;118;-1;3175.3231547150594;12182.976009410151;657.2082898225083;2066.2954391509006;3599.137085020066
case118;l20;32;118;-1;;16452.976950264416;1332.4640108541514;4181.770666181227;7244.391818002246
case118;l20;64;118;-1;;19899.18018532269;2632.0735048180154;8286.940197182576;13981.32665591047
case118;l20;128;118;-1;;21373.55390398271;5154.7565449045405;10772.15361529136;25100.439935403898
case118;l20;256;118;-1;20224.812917394454;18269.80182201056;9720.422193180346;10786.34323869882;44330.72307614365
case118;l20;512;118;-1;46970.52660232997;16061.998963834898;16786.41912960227;9220.09825338502;69610.58317294458
case118;l20;1024;118;-1;26917.866218313327;15505.985510137667;24408.475847417154;7791.6572940287415;87693.33499688702
case118;l20;2048;118;-1;;15366.685005211344;32631.36068668374;6985.111745216937;85414.91168248704
case118;l20;4096;118;-1;;15473.725381275099;36357.66633994507;6904.983969260719;102543.29338519377
case118;l20;8192;118;-1;;15350.333167108312;33112.3330473331;6881.8537721254625;111594.9071994262
case118;l20;16384;118;-1;;14208.937311436306;30498.96944763676;6909.41460518555;85563.64413778977
case118;l20;32768;118;-1;;;;;83000.05726205489
case118;l20;65536;118;-1;;;;;64371.23489606484
case118;t4;1;118;-1;317.2050740805842;411.0495650115009;17.747449908139956;49.50616366989218;671.8491270221616
case118;t4;2;118;-1;;639.6497355627647;35.331660719285296;92.53976100972923;1276.1750460066835
case118;t4;4;118;-1;;1313.8674318223875;70.66417999010041;189.24314092067522;2269.637645495384
case118;t4;8;118;-1;;2229.3294492149475;140.59307509329642;359.8713370155252;3749.3141101378005
case118;t4;16;118;-1;1791.624163160938;2604.982849135409;273.68413663221;729.2825950249138;2532.0788548831138
case118;t4;32;118;-1;;2711.9275580101034;546.1461588081327;1282.0697466521412;4965.336229327529
case118;t4;64;118;-1;;2783.371338387381;1071.271948439846;1408.1121354162376;9340.044632732588
case118;t4;128;118;-1;;2894.8338962234743;2029.9174182187899;1509.650589425576;16642.555500711504
case118;t4;256;118;-1;8616.852798418297;2900.93048605864;3459.8906464736183;1562.2538806004197;27167.07594624287
case118;t4;512;118;-1;;2898.3491078916313;5156.965726683087;1601.379083726081;28708.41682610031
case118;t4;1024;118;-1;;2805.4188130651382;6857.618591154793;1629.1921075283883;32141.756899422155
case118;t4;2048;118;-1;;2758.1540151131376;7747.189281861829;1638.9861413200567;32373.715787081794
case118;t4;4096;118;-1;;2726.2117953231127;7935.546529140456;1599.515414910479;33836.57186600336
case118;t4;8192;118;-1;;2664.5473583787216;7983.390289431219;;33419.65591423089
case118;t4;16384;118;-1;;;7991.238415828744;;32220.958941452325
case118;t4;32768;118;-1;;;;;31315.439019240905
case118;t4;65536;118;-1;;;;;30767.784374350776
case118;rtx6k;1;118;-1;222.56493590215047;1224.7826792657906;45.94946425105744;143.6580813533059;814.7127274871667
case118;rtx6k;2;118;-1;;2297.8036168549625;90.64987237013914;260.9925908196795;1583.6993375794302
case118;rtx6k;4;118;-1;;4688.898081892015;181.5811508548309;530.6484083725657;3145.881645904117
case118;rtx6k;8;118;-1;;9304.871812336789;359.01288846105746;1056.9105752737255;6180.150345568723
case118;rtx6k;16;118;-1;2551.403972388233;18502.56949282267;699.4081276549861;2050.604943657884;2924.088047691606
case118;rtx6k;32;118;-1;;27030.86229563596;1399.4880040864448;4161.9681065022805;5817.449287565795
case118;rtx6k;64;118;-1;;36101.02112190062;2707.6119668725887;8212.412484603088;11484.638731843967
case118;rtx6k;128;118;-1;;39639.58816490459;5643.550892807865;16424.426614288088;22321.068975696195
case118;rtx6k;256;118;-1;34817.210072136055;36731.146681230464;11291.62751065382;17464.350691067557;40797.500579563275
case118;rtx6k;512;118;-1;26222.20028645257;33594.74867157395;19905.68440275771;17683.505514820863;71929.38873649288
case118;rtx6k;1024;118;-1;29831.086027233287;31580.49862221389;33101.81651958376;16998.180636017027;118780.41783740808
case118;rtx6k;2048;118;-1;28820.117629809676;31871.43413291793;51245.27943879159;15887.908368891704;162900.59634850628
case118;rtx6k;4096;118;-1;;32023.866477798845;66516.42531744379;15603.922172546518;163490.1362857699
case118;rtx6k;8192;118;-1;;31635.827107580673;67745.64004082965;15654.732702200072;145514.24790160346
case118;rtx6k;16384;118;-1;;33047.1636044383;62274.09886754322;15682.573936537727;159902.43440920385
case118;rtx6k;32768;118;-1;;;;;145765.2918539901
case118;rtx6k;65536;118;-1;;;;;126414.35395963473
case_ACTIVSg500;l20;1;500;-1;347.1471168463212;1099.0718386639717;29.088930656674624;69.42110375796337;598.7123524331835
case_ACTIVSg500;l20;2;500;-1;;2221.5635047478922;54.48177478200475;98.71189199067727;1151.5288933360316
case_ACTIVSg500;l20;4;500;-1;;3509.519538826827;122.034818147514;189.2795642611991;2017.6488286008948
case_ACTIVSg500;l20;8;500;-1;;4762.567383512672;207.9265911221515;353.8961118838808;3362.5495149461904
case_ACTIVSg500;l20;16;500;-1;797.822751372639;5719.229370286088;373.81031130411384;738.2643719926895;820.2295295418472
case_ACTIVSg500;l20;32;500;-1;;6046.1865474494125;778.8333728245397;1447.5334608593691;1624.1970191587566
case_ACTIVSg500;l20;64;500;-1;;5058.172428877753;1853.1373878094873;2176.3913584411316;3197.1992537152523
