grid_case;machine;size_bus;ls_max_throughput;ls_throughput@1;pp_max_throughput;pp_throughput@1;pgm_max_throughput;pgm_throughput@1;olf_max_throughput;olf_throughput@1;powermodels_max_throughput;powermodels_throughput@1;rustpower_max_throughput;rustpower_throughput@1;exapf_max_throughput;exapf_throughput@1;pf-net_max_throughput;gns_max_throughput;canos_max_throughput;gpu-0DCD_max_throughput;exapf-gpu_max_throughput
case118;rtx6k;118;291543.49519428174;22511.857176442456;4644.755549972212;146.42085122976928;135430.99857037046;4405.394686751893;8657.721884385965;446.7104009961746;1259.460313518407;410.60665444939906;144729.04055297663;7059.987392007982;29090.392486982426;3912.139860208872;39639.58816490459;67745.64004082965;17683.505514820863;163490.1362857699;34817.210072136055
case_ACTIVSg500;l20;500;61029.5740554467;4408.48220635377;9043.878053864742;121.65341180031078;172063.95498604348;1358.2550808584758;;;363.6845824992088;121.0217868788459;;;;;6046.1865474494125;8353.936425399992;2176.3913584411316;28597.160352719184;6866.845480848581
case_ACTIVSg500;t4;500;8677.189962507473;1061.1581647841178;446.63209160611854;50.73222143561659;5425.286041116731;562.9532923032112;472.5217395515321;60.94773752887759;254.2785993218926;53.67853464276174;3015.9817536990095;361.12411355744774;879.7576868037056;149.7470206328532;822.8381262705021;2113.543950060391;415.7713590272316;7311.29747913821;1559.2580012016224
case_ACTIVSg500;rtx6k;500;89020.28707393214;4863.083703017525;3848.0668128744232;126.93388570253063;40561.7658810809;1439.731398876024;3152.720219924197;158.59623946759936;317.91862372687814;118.53682158250452;48081.62453543304;1893.8602491449944;4561.539898316426;448.42246222162765;13561.06247210496;17822.68815353927;4394.531738603837;49823.31455696074;8346.15307165661
case1354pegase;l20;1354;36239.84648410407;873.41237445014;4377.528145987862;86.51117389459878;;;;;;;;;;;1539.8835050278365;2701.764619942865;902.066485049809;11232.438240208967;2719.907542002306
case1354pegase;t4;1354;2577.0705859154464;298.1630698391217;319.3222528145233;36.37927663462485;;;118.57113360799666;14.426749747076048;;;984.6100625090937;105.33152223710596;;;;;;2673.0001139792225;415.7054595157617
case1354pegase;rtx6k;1354;22004.778386525348;996.3397264959643;2371.583213407803;87.93987740687318;;;745.8540793015054;30.98543105829099;;;12719.734180160782;421.84166481292374;;;3992.8833596097506;5881.462908024282;1604.5669348787967;19454.87454505649;3327.508169180307
case_ACTIVSg2000;l20;2000;14916.831782646148;306.08935330506796;3032.264310396804;67.01831033895503;;;;;67.83783220598336;21.352605576775453;;;;;975.416337178682;1792.3599822682313;492.2089885751335;5457.492071267729;1874.7696999928428
case_ACTIVSg2000;t4;2000;1095.405008397908;123.76067351596961;252.9671302405391;29.22250536153879;;;86.81492698499912;9.698079188011919;41.31088954888442;9.449618222241604;457.0202252972299;45.90362278594499;219.34186922041636;26.042742602683532;167.7518976349004;452.73406948394415;96.89982455194749;1152.0009836989007;188.73891533349362
case_ACTIVSg2000;rtx6k;2000;8740.64601097116;356.1982779112196;1723.6880780520974;68.3478037656668;;;550.4777246687095;21.568050173430937;50.473901820296724;18.900547574130268;5457.477162848982;179.03980750100513;889.7032964099689;74.89443474706268;2501.1556517541444;3773.7523243588707;929.0683203131441;9520.691043725534;2260.591295494509
