grid_case;machine;size_bus;threads;ls_throughput;ls_percorethroughput;pgm_throughput;pgm_percorethroughput;powermodels_throughput;powermodels_percorethroughput;pp_throughput;pp_percorethroughput;olf_throughput;olf_percorethroughput;exapf_throughput;exapf_percorethroughput;rustpower_throughput;rustpower_percorethroughput
case14;t4;14;16;411800.29261152743;25737.518288220464;260217.23355128782;16263.577096955489;6720.250187116625;420.01563669478907;579.4659822771865;36.21662389232416;3817.2462182748927;238.5778886421808;49477.01012228525;3092.3131326428284;21881.324931566647;1367.5828082229154
case14;t4;14;24;216612.73236335866;9025.530515139944;217500.73893438096;9062.53078893254;4216.72577205716;175.69690716904833;511.3128004667991;21.304700019449964;3340.431442263381;139.18464342764088;51569.35956636114;2148.7233152650474;20524.231861978824;855.176327582451
case14;t4;14;32;351305.34244314965;10978.291951348427;225528.35616523103;7047.76113016347;3147.9336079752015;98.37292524922505;468.7232800604376;14.647602501888676;3230.3679551218643;100.94899859755826;49413.35097044965;1544.1672178265515;18790.937472174945;587.216796005467
case14;t4;14;48;288494.9043883539;6010.310508090707;180880.1682743956;3768.3368390499086;2053.6922685074337;42.78525559390487;374.87867175366614;7.809972328201378;2849.4490154669306;59.36352115556105;;;14443.131673728298;300.8985765360062
case14;t4;14;64;300383.96339301555;4693.499428015868;189586.08308718415;2962.2825482372523;1893.4742015440472;29.585534399125738;376.80854251641057;5.887633476818915;2799.9704367596605;43.749538074369696;;;14839.997447277838;231.8749601137162
case14;t4;14;96;284694.03415070684;2965.5628557365294;;;;;;;2780.6130533008695;28.96471930521739;;;14195.69478995882;147.8718207287377
case14;rtx6k;14;1;148901.81941617304;148901.81941617304;55558.70201208351;55558.70201208351;4217.677822262388;4217.677822262388;158.20003560271778;158.20003560271778;1532.1632287705422;1532.1632287705422;40711.77293713229;40711.77293713229;13901.57582147125;13901.57582147125
case14;rtx6k;14;2;277290.0583865381;138645.02919326906;109487.3640014493;54743.68200072465;7542.605039220374;3771.302519610187;312.9440164217325;156.47200821086625;2881.7644945978755;1440.8822472989377;67018.9079407776;33509.4539703888;24434.72625894582;12217.36312947291
case14;rtx6k;14;4;517380.3594160729;129345.08985401822;212347.2437694104;53086.8109423526;10713.509025486503;2678.3772563716257;589.0063259252678;147.25158148131695;5450.604232616578;1362.6510581541445;107843.14014985088;26960.78503746272;47476.628477756625;11869.157119439156
case14;rtx6k;14;8;931667.439827972;116458.4299784965;415384.02734502126;51923.00341812766;9197.590558346827;1149.6988197933533;1172.9436622009785;146.6179577751223;9834.969274079791;1229.3711592599739;172541.57077265045;21567.696346581306;95126.19519511807;11890.774399389758
